,formula,Temperature,target
433,B2Be3O6,2500.0,325.18
434,B2Be3O6,2400.0,323.423
435,B2Be3O6,2300.0,321.582
436,B2Be3O6,2200.0,319.658
437,B2Be3O6,2100.0,317.649
438,B2Be3O6,2000.0,315.474
439,B2Be3O6,1900.0,313.382
440,B2Be3O6,1800.0,311.206
441,B2Be3O6,1700.0,308.905
442,B2Be3O6,1600.0,306.72900000000004
443,B2Be3O6,1500.0,304.553
444,B2Be3O6,1400.0,302.21
445,B2Be3O6,1300.0,299.574
446,B2Be3O6,1200.0,296.395
447,B2Be3O6,1100.0,292.211
448,B2Be3O6,1000.0,286.269
449,B2Be3O6,900.0,277.567
450,B2Be3O6,800.0,264.805
451,B2Be3O6,700.0,247.567
452,B2Be3O6,600.0,226.605
453,B2Be3O6,500.0,202.84
454,B2Be3O6,400.0,175.017
455,B2Be3O6,300.0,140.415
456,Al1Cl4Na1,298.0,154.975
457,Al1Cl4Na1,900.0,197.276
458,Al1Cl4Na1,800.0,193.51
459,Al1Cl4Na1,700.0,189.117
460,Al1Cl4Na1,600.0,182.422
461,Al1Cl4Na1,500.0,174.054
462,Al1Cl4Na1,400.0,164.808
463,Al1Cl4Na1,300.0,154.808
464,Al1Cl6K3,298.0,248.906
465,Al1Cl6K3,1900.0,341.362
466,Al1Cl6K3,1800.0,339.32199999999995
467,Al1Cl6K3,1700.0,336.969
468,Al1Cl6K3,1600.0,334.302
469,Al1Cl6K3,1500.0,331.32
470,Al1Cl6K3,1400.0,328.026
471,Al1Cl6K3,1300.0,324.103
472,Al1Cl6K3,1200.0,319.658
473,Al1Cl6K3,1100.0,314.532
474,Al1Cl6K3,1000.0,308.779
475,Al1Cl6K3,900.0,302.88
476,Al1Cl6K3,800.0,295.809
477,Al1Cl6K3,700.0,287.85900000000004
478,Al1Cl6K3,600.0,279.491
479,Al1Cl6K3,500.0,269.659
480,Al1Cl6K3,400.0,259.157
481,Al1Cl6K3,300.0,249.283
482,C0.98Nb1,2900.0,62.174
483,C0.98Nb1,2800.0,61.672
484,C0.98Nb1,2700.0,61.17
485,C0.98Nb1,2600.0,60.668
486,C0.98Nb1,2500.0,60.166
487,C0.98Nb1,2400.0,59.664
488,C0.98Nb1,2300.0,59.162
489,C0.98Nb1,2200.0,58.66
490,C0.98Nb1,2100.0,58.158
491,C0.98Nb1,2000.0,57.656000000000006
492,C0.98Nb1,1900.0,57.153
493,C0.98Nb1,1800.0,56.651
494,C0.98Nb1,1700.0,56.13399999999999
495,C0.98Nb1,1600.0,55.605
496,C0.98Nb1,1500.0,55.06100000000001
497,C0.98Nb1,1400.0,54.504
498,C0.98Nb1,1300.0,53.932
499,C0.98Nb1,1200.0,53.304
500,C0.98Nb1,1100.0,52.635
501,C0.98Nb1,1000.0,51.923
502,C0.98Nb1,900.0,51.087
503,C0.98Nb1,800.0,50.124
504,C0.98Nb1,700.0,48.911
505,C0.98Nb1,600.0,47.363
506,C0.98Nb1,500.0,45.145
507,C0.98Nb1,400.0,41.882
508,C0.98Nb1,300.0,36.38
509,C0.98Nb1,298.0,36.233
510,Br2Hg1,1400.0,107.587
511,Br2Hg1,1300.0,104.659
512,Br2Hg1,1200.0,101.73
513,Br2Hg1,1100.0,98.801
514,Br2Hg1,1000.0,95.872
515,Br2Hg1,900.0,92.943
516,Br2Hg1,800.0,90.015
517,Br2Hg1,700.0,87.086
518,Br2Hg1,600.0,84.15700000000001
519,Br2Hg1,500.0,81.206
520,Br2Hg1,400.0,78.321
521,Br2Hg1,300.0,75.366
522,Br2Hg1,298.0,75.312
523,Al1Cl1O1,298.0,56.902
524,Al1Cl1O1,2900.0,83.052
525,Al1Cl1O1,2800.0,83.052
526,Al1Cl1O1,2700.0,83.052
527,Al1Cl1O1,2600.0,83.052
528,Al1Cl1O1,2500.0,83.052
529,Al1Cl1O1,2400.0,83.052
530,Al1Cl1O1,2300.0,83.036
531,Al1Cl1O1,2200.0,83.01100000000001
532,Al1Cl1O1,2100.0,82.958
533,Al1Cl1O1,2000.0,82.885
534,Al1Cl1O1,1900.0,82.77
535,Al1Cl1O1,1800.0,82.62
536,Al1Cl1O1,1700.0,82.435
537,Al1Cl1O1,1600.0,82.21600000000001
538,Al1Cl1O1,1500.0,81.961
539,Al1Cl1O1,1400.0,81.672
540,Al1Cl1O1,1300.0,81.243
541,Al1Cl1O1,1200.0,80.709
542,Al1Cl1O1,1100.0,80.04
543,Al1Cl1O1,1000.0,79.245
544,Al1Cl1O1,900.0,78.168
545,Al1Cl1O1,800.0,76.86
546,Al1Cl1O1,700.0,74.977
547,Al1Cl1O1,600.0,72.634
548,Al1Cl1O1,500.0,69.203
549,Al1Cl1O1,400.0,64.308
550,Al1Cl1O1,300.0,57.112
551,Cl1H4N1O4,1400.0,347.066
552,Cl1H4N1O4,1300.0,333.816
553,Cl1H4N1O4,1200.0,317.98400000000004
554,Cl1H4N1O4,1100.0,299.569
555,Cl1H4N1O4,1000.0,278.571
556,Cl1H4N1O4,900.0,258.456
557,Cl1H4N1O4,800.0,238.07
558,Cl1H4N1O4,700.0,217.819
559,Cl1H4N1O4,600.0,197.568
560,Cl1H4N1O4,513.15,171.628
561,Cl1H4N1O4,513.15,179.99599999999998
562,Cl1H4N1O4,500.0,168.95
563,Cl1H4N1O4,400.0,148.69899999999998
564,Cl1H4N1O4,300.0,128.44899999999998
565,Cl1H4N1O4,298.0,128.072
566,Be1F4Li2,1400.0,299.55400000000003
567,Be1F4Li2,1300.0,284.64
568,Be1F4Li2,1200.0,269.72900000000004
569,Be1F4Li2,1100.0,254.819
570,Be1F4Li2,1000.0,239.911
571,Be1F4Li2,900.0,225.004
572,Be1F4Li2,800.0,210.1
573,Be1F4Li2,732.2,199.995
574,Be1F4Li2,700.0,195.18400000000003
575,Be1F4Li2,600.0,180.247
576,Be1F4Li2,500.0,165.352
577,Be1F4Li2,400.0,150.457
578,Be1F4Li2,300.0,135.52
579,Be1F4Li2,298.0,135.269
580,C1Mg1O3,900.0,127.612
581,C1Mg1O3,800.0,122.256
582,C1Mg1O3,700.0,116.232
583,C1Mg1O3,600.0,109.035
584,C1Mg1O3,500.0,100.061
585,C1Mg1O3,400.0,89.855
586,C1Mg1O3,300.0,76.501
587,C1Mg1O3,298.0,76.21
588,Br1H4N1,1400.0,174.264
589,Br1H4N1,1300.0,168.127
590,Br1H4N1,1200.0,161.502
591,Br1H4N1,1100.0,154.102
592,Br1H4N1,1000.0,146.02200000000002
593,Br1H4N1,900.0,136.817
594,Br1H4N1,800.0,126.775
595,Br1H4N1,700.0,115.06
596,Br1H4N1,600.0,102.424
597,Br1H4N1,500.0,87.195
598,Br1H4N1,411.0,92.844
599,Br1H4N1,411.0,72.867
600,Br1H4N1,400.0,92.717
601,Br1H4N1,300.0,88.89299999999999
602,Br1H4N1,298.0,88.676
603,Ca1I2,1400.0,98.91
604,Ca1I2,1300.0,96.943
605,Ca1I2,1200.0,94.977
606,Ca1I2,1100.0,93.0
607,Ca1I2,1052.0,92.048
608,Ca1I2,1000.0,91.002
609,Ca1I2,900.0,89.036
610,Ca1I2,800.0,87.069
611,Ca1I2,700.0,85.103
612,Ca1I2,600.0,83.13600000000001
